PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AssistPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"

Luka Doncic,DAL,1,1,0,43.5,75.0,93.0,15.0,1.0,25.0,36.0,20.0,20.0,26.7
Tyrese Haliburton,IND,1,0,1,39.9,65.0,72.0,15.0,1.0,22.0,41.0,18.0,23.1,27.7
Kris Dunn,UTA,1,1,0,34.3,68.0,65.0,13.0,2.0,20.0,34.0,15.0,19.1,22.1
Trae Young,ATL,1,0,1,40.9,64.0,76.0,13.0,2.0,24.0,35.0,17.0,20.3,26.6
Malcolm Brogdon,POR,1,0,1,36.9,50.0,51.0,12.0,0.0,16.0,33.0,14.0,24.0,28.0
Derrick White,BOS,1,1,0,35.3,51.0,54.0,11.0,0.0,10.0,28.0,11.0,21.6,21.6
Ja Morant,MEM,1,1,0,36.1,51.0,68.0,11.0,1.0,20.0,25.0,12.0,21.6,23.5
Anthony Edwards,MIN,1,1,0,39.1,50.0,65.0,10.0,1.0,8.0,23.0,11.0,20.0,22.0
Devin Booker,PHX,1,0,1,40.4,68.0,78.0,10.0,0.0,19.0,26.0,11.0,14.7,16.2
Domantas Sabonis,SAC,1,0,1,39.0,82.0,73.0,10.0,1.0,15.0,25.0,12.0,12.2,14.6
James Harden,LAC,1,0,1,28.7,51.0,64.0,9.0,2.0,11.0,22.0,11.0,17.6,21.6
Mike Conley,MIN,1,1,0,31.7,65.0,63.0,9.0,1.0,10.0,21.0,10.0,13.8,15.4
Craig Porter Jr.,CLE,1,1,0,39.4,82.0,83.0,8.0,1.0,20.0,24.0,11.0,9.8,13.4
Damian Lillard,MIL,1,0,1,37.8,41.0,63.0,8.0,1.0,12.0,20.0,10.0,19.5,24.4
DeMar DeRozan,CHI,1,0,1,40.1,43.0,52.0,8.0,0.0,8.0,20.0,8.0,18.6,18.6
Ish Smith,CHA,1,0,1,26.5,49.0,51.0,8.0,0.0,15.0,21.0,11.0,16.3,22.4
LeBron James,LAL,1,0,1,36.8,61.0,65.0,8.0,0.0,15.0,21.0,9.0,13.1,14.8
Nikola Jokic,DEN,1,1,0,39.1,96.0,78.0,8.0,1.0,20.0,20.0,11.0,8.3,11.5
