PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AssistPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"
Coby White,CHI,1,0,1,39.6,53.0,66.0,7.0,3.0,12.0,15.0,10.0,13.2,18.9
Dennis Schroder,TOR,1,0,1,33.0,62.0,63.0,7.0,2.0,9.0,17.0,9.0,11.3,14.5
Jaden Ivey,DET,1,0,1,35.2,38.0,42.0,7.0,1.0,10.0,19.0,8.0,18.4,21.1
Jarrett Allen,CLE,1,1,0,35.0,60.0,49.0,7.0,0.0,10.0,18.0,7.0,11.7,11.7
Jayson Tatum,BOS,1,1,0,41.2,42.0,44.0,7.0,0.0,8.0,18.0,8.0,16.7,19.0
Jrue Holiday,BOS,1,1,0,38.3,54.0,46.0,7.0,2.0,12.0,16.0,9.0,13.0,16.7
Kelly Olynyk,UTA,1,1,0,16.5,31.0,24.0,7.0,0.0,7.0,15.0,7.0,22.6,22.6
Kevin Durant,PHX,1,0,1,42.6,55.0,57.0,7.0,0.0,14.0,17.0,8.0,12.7,14.5
Max Strus,CLE,1,1,0,40.5,61.0,75.0,7.0,0.0,11.0,18.0,7.0,11.5,11.5
Mikal Bridges,BKN,1,1,0,32.9,38.0,44.0,7.0,0.0,8.0,17.0,7.0,18.4,18.4
Scottie Barnes,TOR,1,0,1,37.9,61.0,52.0,7.0,0.0,12.0,17.0,8.0,11.5,13.1
Shai Gilgeous-Alexander,OKC,1,0,1,38.3,51.0,67.0,7.0,0.0,22.0,20.0,8.0,13.7,15.7
Spencer Dinwiddie,BKN,1,1,0,30.2,37.0,46.0,7.0,0.0,7.0,16.0,7.0,18.9,18.9
Alperen Sengun,HOU,1,1,0,38.4,48.0,63.0,6.0,0.0,11.0,15.0,6.0,12.5,12.5
Brandin Podziemski,GSW,1,0,1,34.4,45.0,31.0,6.0,0.0,12.0,16.0,7.0,13.3,15.6
Cade Cunningham,DET,1,0,1,33.4,47.0,63.0,6.0,1.0,11.0,17.0,8.0,12.8,17.0
D'Angelo Russell,LAL,1,0,1,17.8,28.0,28.0,6.0,0.0,8.0,17.0,7.0,21.4,25.0
De'Aaron Fox,SAC,1,0,1,39.1,62.0,84.0,6.0,1.0,13.0,16.0,8.0,9.7,12.9
Desmond Bane,MEM,1,1,0,36.3,63.0,75.0,6.0,0.0,9.0,15.0,7.0,9.5,11.1
Giannis Antetokounmpo,MIL,1,0,1,38.7,44.0,44.0,6.0,0.0,14.0,16.0,6.0,13.6,13.6
Jalen Brunson,NYK,1,1,0,37.1,55.0,75.0,6.0,3.0,12.0,13.0,9.0,10.9,16.4
Jordan Clarkson,UTA,1,1,0,30.2,32.0,55.0,6.0,0.0,6.0,16.0,6.0,18.8,18.8
Khris Middleton,MIL,1,0,1,33.1,32.0,42.0,6.0,1.0,8.0,13.0,8.0,18.8,25.0
Malachi Flynn,TOR,1,0,1,14.0,30.0,30.0,6.0,0.0,8.0,17.0,7.0,20.0,23.3
Pascal Siakam,TOR,1,0,1,36.0,45.0,47.0,6.0,0.0,6.0,15.0,6.0,13.3,13.3
Tobias Harris,PHI,1,0,1,41.6,48.0,46.0,6.0,1.0,12.0,17.0,7.0,12.5,14.6
Andrew Nembhard,IND,1,0,1,36.4,35.0,47.0,5.0,0.0,7.0,12.0,5.0,14.3,14.3
Bam Adebayo,MIA,1,1,0,36.3,52.0,51.0,5.0,1.0,6.0,13.0,6.0,9.6,11.5
Brandon Ingram,NOP,1,0,1,36.2,43.0,49.0,5.0,1.0,10.0,12.0,6.0,11.6,14.0
Dante Exum,DAL,1,1,0,33.1,40.0,41.0,5.0,0.0,8.0,13.0,5.0,12.5,12.5
De'Anthony Melton,PHI,1,0,1,36.5,43.0,38.0,5.0,1.0,11.0,13.0,8.0,11.6,18.6
Devin Vassell,SAS,1,0,1,30.4,32.0,38.0,5.0,0.0,7.0,13.0,5.0,15.6,15.6
Dillon Brooks,HOU,1,1,0,27.7,21.0,16.0,5.0,0.0,4.0,12.0,5.0,23.8,23.8
Isaiah Stewart,DET,1,0,1,32.7,49.0,32.0,5.0,0.0,5.0,13.0,5.0,10.2,10.2
Jonas Valanciunas,NOP,1,0,1,25.7,44.0,36.0,5.0,0.0,5.0,12.0,5.0,11.4,11.4
Kenrich Williams,OKC,1,0,1,22.8,22.0,13.0,5.0,0.0,5.0,11.0,5.0,22.7,22.7
Kentavious Caldwell-Pope,DEN,1,1,0,37.1,41.0,44.0,5.0,0.0,7.0,11.0,5.0,12.2,12.2
Kevin Love,MIA,1,1,0,16.0,25.0,16.0,5.0,0.0,9.0,13.0,6.0,20.0,24.0
Kyle Anderson,MIN,1,1,0,28.7,31.0,32.0,5.0,0.0,5.0,14.0,5.0,16.1,16.1
Lauri Markkanen,UTA,1,1,0,38.7,45.0,37.0,5.0,0.0,7.0,13.0,6.0,11.1,13.3
Royce O'Neale,BKN,1,1,0,19.0,27.0,18.0,5.0,1.0,6.0,12.0,7.0,18.5,25.9
Russell Westbrook,LAC,1,0,1,20.6,25.0,30.0,5.0,0.0,4.0,14.0,5.0,20.0,20.0
Tyler Herro,MIA,1,1,0,38.0,49.0,66.0,5.0,1.0,11.0,14.0,8.0,10.2,16.3
Tyrese Maxey,PHI,1,0,1,43.5,68.0,82.0,5.0,0.0,10.0,14.0,6.0,7.4,8.8
Anthony Davis,LAL,1,0,1,38.8,51.0,51.0,4.0,1.0,6.0,10.0,5.0,7.8,9.8
Bojan Bogdanovic,DET,1,0,1,38.8,20.0,26.0,4.0,0.0,7.0,10.0,4.0,20.0,20.0
Cason Wallace,OKC,1,0,1,24.2,20.0,18.0,4.0,0.0,6.0,11.0,5.0,20.0,25.0
Dejounte Murray,ATL,1,0,1,35.4,57.0,54.0,4.0,1.0,13.0,10.0,5.0,7.0,8.8
Donte DiVincenzo,NYK,1,1,0,20.8,19.0,16.0,4.0,0.0,3.0,8.0,4.0,21.1,21.1
Gordon Hayward,CHA,1,0,1,31.3,44.0,37.0,4.0,0.0,9.0,12.0,5.0,9.1,11.4
Grayson Allen,PHX,1,0,1,39.5,56.0,55.0,4.0,1.0,4.0,9.0,5.0,7.1,8.9
Isaiah Hartenstein,NYK,1,1,0,32.7,43.0,29.0,4.0,0.0,6.0,10.0,4.0,9.3,9.3
Jeremy Sochan,SAS,1,0,1,29.9,35.0,34.0,4.0,0.0,8.0,9.0,4.0,11.4,11.4
Josh Hart,NYK,1,1,0,30.9,31.0,18.0,4.0,1.0,3.0,10.0,6.0,12.9,19.4
Kobe Brown,LAC,1,0,1,25.4,29.0,15.0,4.0,0.0,4.0,9.0,4.0,13.8,13.8
Kyle Lowry,MIA,1,1,0,33.4,58.0,54.0,4.0,0.0,11.0,10.0,5.0,6.9,8.6
Malaki Branham,SAS,1,0,1,24.3,42.0,45.0,4.0,0.0,6.0,11.0,4.0,9.5,9.5
Nikola Vucevic,CHI,1,0,1,33.5,51.0,44.0,4.0,0.0,9.0,12.0,6.0,7.8,11.8
OG Anunoby,TOR,1,0,1,35.9,23.0,29.0,4.0,0.0,7.0,9.0,5.0,17.4,21.7
Onyeka Okongwu,ATL,1,0,1,27.6,25.0,22.0,4.0,0.0,7.0,8.0,4.0,16.0,16.0
Paolo Banchero,ORL,1,1,0,36.2,54.0,66.0,4.0,1.0,8.0,12.0,6.0,7.4,11.1
R.J. Hampton,MIA,1,1,0,17.4,20.0,22.0,4.0,0.0,6.0,10.0,4.0,20.0,20.0
Stephen Curry,GSW,1,0,1,34.3,42.0,59.0,4.0,0.0,8.0,12.0,5.0,9.5,11.9
Tre Jones,SAS,1,0,1,17.9,39.0,44.0,4.0,3.0,8.0,11.0,7.0,10.3,17.9
Wendell Carter Jr.,ORL,1,1,0,16.5,27.0,18.0,4.0,0.0,6.0,11.0,5.0,14.8,18.5
Zach Collins,SAS,1,0,1,28.1,29.0,28.0,4.0,1.0,5.0,10.0,5.0,13.8,17.2
Zion Williamson,NOP,1,0,1,34.3,40.0,47.0,4.0,0.0,11.0,15.0,5.0,10.0,12.5
Aaron Gordon,DEN,1,1,0,31.6,24.0,23.0,3.0,0.0,4.0,10.0,4.0,12.5,16.7
Austin Reaves,LAL,1,0,1,28.2,50.0,48.0,3.0,0.0,11.0,9.0,4.0,6.0,8.0
Bismack Biyombo,MEM,1,1,0,29.1,33.0,18.0,3.0,0.0,5.0,7.0,3.0,9.1,9.1
Blake Wesley,SAS,1,0,1,12.0,14.0,13.0,3.0,0.0,5.0,7.0,3.0,21.4,21.4
Bogdan Bogdanovic,ATL,1,0,1,34.3,29.0,31.0,3.0,0.0,4.0,9.0,3.0,10.3,10.3
Cam Thomas,BKN,1,1,0,28.2,22.0,37.0,3.0,0.0,6.0,8.0,3.0,13.6,13.6
Chris Paul,GSW,1,0,1,28.4,48.0,52.0,3.0,0.0,11.0,8.0,3.0,6.3,6.3
Cole Anthony,ORL,1,1,0,24.2,34.0,35.0,3.0,0.0,8.0,8.0,4.0,8.8,11.8
Collin Sexton,UTA,1,1,0,24.9,34.0,46.0,3.0,1.0,5.0,7.0,4.0,8.8,11.8
Dennis Smith Jr.,BKN,1,1,0,18.8,34.0,37.0,3.0,0.0,5.0,9.0,4.0,8.8,11.8
Fred VanVleet,HOU,1,1,0,35.8,50.0,59.0,3.0,0.0,9.0,8.0,4.0,6.0,8.0
Gary Harris,ORL,1,1,0,34.5,20.0,29.0,3.0,0.0,3.0,9.0,4.0,15.0,20.0
Isaac Okoro,CLE,1,1,0,34.5,33.0,41.0,3.0,0.0,7.0,7.0,3.0,9.1,9.1
Jakob Poeltl,TOR,1,0,1,20.9,26.0,16.0,3.0,0.0,5.0,7.0,3.0,11.5,11.5
Jalen Williams,OKC,1,0,1,34.2,38.0,44.0,3.0,0.0,12.0,8.0,3.0,7.9,7.9
Jamal Murray,DEN,1,1,0,32.8,46.0,61.0,3.0,1.0,7.0,12.0,7.0,6.5,15.2
Jerami Grant,POR,1,0,1,31.7,34.0,38.0,3.0,1.0,7.0,8.0,4.0,8.8,11.8
Kelly Oubre Jr.,PHI,1,0,1,39.6,23.0,23.0,3.0,0.0,3.0,8.0,3.0,13.0,13.0
Moritz Wagner,ORL,1,1,0,20.0,16.0,16.0,3.0,0.0,2.0,7.0,3.0,18.8,18.8
Nick Richards,CHA,1,0,1,38.1,32.0,22.0,3.0,0.0,5.0,8.0,3.0,9.4,9.4
Reggie Jackson,DEN,1,1,0,14.5,19.0,24.0,3.0,0.0,5.0,11.0,4.0,15.8,21.1
Sandro Mamukelashvili,SAS,1,0,1,14.6,21.0,18.0,3.0,0.0,4.0,4.0,2.0,14.3,9.5
Santi Aldama,MEM,1,1,0,27.1,23.0,22.0,3.0,0.0,4.0,8.0,3.0,13.0,13.0
Taj Gibson,NYK,1,1,0,15.3,15.0,8.0,3.0,0.0,0.0,7.0,3.0,20.0,20.0
Taurean Prince,LAL,1,0,1,39.0,30.0,30.0,3.0,0.0,4.0,7.0,3.0,10.0,10.0
Terance Mann,LAC,1,0,1,24.3,22.0,22.0,3.0,1.0,2.0,5.0,3.0,13.6,13.6
Trey Lyles,SAC,1,0,1,27.4,35.0,30.0,3.0,0.0,4.0,8.0,3.0,8.6,8.6
Ziaire Williams,MEM,1,1,0,23.5,9.0,18.0,3.0,0.0,2.0,7.0,3.0,33.3,33.3
Aaron Nesmith,IND,1,0,1,27.8,27.0,20.0,2.0,0.0,4.0,5.0,2.0,7.4,7.4
Alec Burks,DET,1,0,1,16.4,13.0,20.0,2.0,0.0,3.0,7.0,3.0,15.4,23.1
Andrew Wiggins,GSW,1,0,1,28.8,14.0,21.0,2.0,0.0,5.0,6.0,2.0,14.3,14.3
Anfernee Simons,POR,1,0,1,34.1,45.0,57.0,2.0,3.0,6.0,4.0,7.0,4.4,15.6
Anthony Black,ORL,1,1,0,28.4,35.0,28.0,2.0,0.0,7.0,10.0,4.0,5.7,11.4
Ausar Thompson,DET,1,0,1,31.0,23.0,18.0,2.0,0.0,2.0,5.0,2.0,8.7,8.7
Brandon Miller,CHA,1,0,1,10.8,13.0,15.0,2.0,0.0,1.0,4.0,2.0,15.4,15.4
CJ McCollum,NOP,1,0,1,33.7,59.0,64.0,2.0,1.0,6.0,2.0,2.0,3.4,3.4
Cameron Johnson,BKN,1,1,0,27.6,21.0,23.0,2.0,0.0,2.0,4.0,2.0,9.5,9.5
Cedi Osman,SAS,1,0,1,9.8,7.0,9.0,2.0,0.0,2.0,3.0,1.0,28.6,14.3
Chimezie Metu,PHX,1,0,1,33.6,55.0,46.0,2.0,1.0,5.0,5.0,3.0,3.6,5.5
Dario Saric,GSW,1,0,1,19.9,20.0,20.0,2.0,0.0,6.0,5.0,2.0,10.0,10.0
Deandre Ayton,POR,1,0,1,28.9,38.0,31.0,2.0,1.0,5.0,4.0,3.0,5.3,7.9
Duncan Robinson,MIA,1,1,0,34.1,33.0,36.0,2.0,1.0,5.0,6.0,4.0,6.1,12.1
Dwight Powell,DAL,1,1,0,7.2,10.0,8.0,2.0,0.0,2.0,5.0,2.0,20.0,20.0
Eric Gordon,PHX,1,0,1,36.7,22.0,30.0,2.0,0.0,4.0,5.0,2.0,9.1,9.1
Goga Bitadze,ORL,1,1,0,11.4,11.0,9.0,2.0,1.0,0.0,5.0,3.0,18.2,27.3
Jabari Smith Jr.,HOU,1,1,0,37.3,36.0,25.0,2.0,0.0,1.0,3.0,1.0,5.6,2.8
Jalen Green,HOU,1,1,0,22.5,27.0,31.0,2.0,0.0,1.0,4.0,2.0,7.4,7.4
Jaylen Brown,BOS,1,1,0,32.6,22.0,33.0,2.0,0.0,4.0,4.0,2.0,9.1,9.1
Jeff Green,HOU,1,1,0,21.4,17.0,12.0,2.0,0.0,2.0,5.0,2.0,11.8,11.8
Jeremiah Robinson-Earl,NOP,1,0,1,21.8,31.0,20.0,2.0,0.0,1.0,4.0,2.0,6.5,6.5
John Konchar,MEM,1,1,0,13.3,19.0,10.0,2.0,0.0,2.0,6.0,2.0,10.5,10.5
Jonathan Kuminga,GSW,1,0,1,23.0,35.0,29.0,2.0,0.0,2.0,4.0,2.0,5.7,5.7
Jordan McLaughlin,MIN,1,1,0,1.6,6.0,6.0,2.0,0.0,2.0,4.0,2.0,33.3,33.3
Josh Okogie,PHX,1,0,1,12.4,15.0,16.0,2.0,0.0,2.0,5.0,2.0,13.3,13.3
Julius Randle,NYK,1,1,0,41.0,44.0,51.0,2.0,1.0,4.0,5.0,3.0,4.5,6.8
Keldon Johnson,SAS,1,0,1,23.0,36.0,37.0,2.0,1.0,4.0,7.0,4.0,5.6,11.1
Kevon Looney,GSW,1,0,1,21.6,29.0,23.0,2.0,0.0,4.0,5.0,3.0,6.9,10.3
Kristaps Porzingis,BOS,1,1,0,35.3,30.0,32.0,2.0,2.0,3.0,4.0,4.0,6.7,13.3
Malik Beasley,MIL,1,0,1,19.2,11.0,7.0,2.0,0.0,4.0,4.0,2.0,18.2,18.2
Matisse Thybulle,POR,1,0,1,16.5,12.0,11.0,2.0,0.0,3.0,5.0,2.0,16.7,16.7
Miles Bridges,CHA,1,0,1,37.6,41.0,43.0,2.0,1.0,8.0,5.0,3.0,4.9,7.3
Mo Bamba,PHI,1,0,1,25.5,31.0,27.0,2.0,0.0,2.0,6.0,2.0,6.5,6.5
Naji Marshall,NOP,1,0,1,12.3,16.0,14.0,2.0,1.0,2.0,4.0,3.0,12.5,18.8
Naz Reid,MIN,1,1,0,19.2,14.0,11.0,2.0,0.0,3.0,4.0,2.0,14.3,14.3
Nic Claxton,BKN,1,1,0,29.6,37.0,28.0,2.0,0.0,4.0,4.0,2.0,5.4,5.4
Nick Smith Jr.,CHA,1,0,1,25.4,35.0,41.0,2.0,0.0,5.0,5.0,2.0,5.7,5.7
P.J. Washington,CHA,1,0,1,28.3,37.0,41.0,2.0,0.0,3.0,6.0,2.0,5.4,5.4
Patrick Williams,CHI,1,0,1,35.2,31.0,32.0,2.0,1.0,4.0,6.0,3.0,6.5,9.7
Paul George,LAC,1,0,1,29.7,21.0,34.0,2.0,0.0,8.0,6.0,3.0,9.5,14.3
Quentin Grimes,NYK,1,1,0,12.1,7.0,7.0,2.0,1.0,1.0,4.0,3.0,28.6,42.9
Rayan Rupert,POR,1,0,1,4.6,7.0,6.0,2.0,0.0,2.0,5.0,2.0,28.6,28.6
Saddiq Bey,ATL,1,0,1,38.1,34.0,29.0,2.0,1.0,1.0,4.0,3.0,5.9,8.8
Scoot Henderson,POR,1,0,1,22.8,36.0,40.0,2.0,0.0,9.0,6.0,2.0,5.6,5.6
T.J. McConnell,IND,1,0,1,6.8,15.0,16.0,2.0,0.0,2.0,4.0,2.0,13.3,13.3
Tim Hardaway Jr.,DAL,1,1,0,38.1,36.0,38.0,2.0,0.0,5.0,5.0,2.0,5.6,5.6
Aaron Holiday,HOU,1,1,0,15.3,19.0,21.0,1.0,0.0,4.0,5.0,3.0,5.3,15.8
Aaron Wiggins,OKC,1,0,1,6.1,9.0,10.0,1.0,0.0,2.0,2.0,1.0,11.1,11.1
Al Horford,BOS,1,1,0,23.3,19.0,12.0,1.0,0.0,3.0,2.0,1.0,5.3,5.3
Alex Caruso,CHI,1,0,1,32.2,37.0,29.0,1.0,0.0,7.0,2.0,1.0,2.7,2.7
Amir Coffey,LAC,1,0,1,17.4,14.0,10.0,1.0,0.0,2.0,3.0,1.0,7.1,7.1
Andre Jackson Jr.,MIL,1,0,1,14.2,5.0,2.0,1.0,0.0,1.0,3.0,1.0,20.0,20.0
Ayo Dosunmu,CHI,1,0,1,19.6,29.0,20.0,1.0,0.0,2.0,2.0,1.0,3.4,3.4
Bennedict Mathurin,IND,1,0,1,16.3,13.0,16.0,1.0,0.0,2.0,3.0,1.0,7.7,7.7
Brook Lopez,MIL,1,0,1,26.7,17.0,17.0,1.0,0.0,2.0,5.0,2.0,5.9,11.8
Buddy Hield,IND,1,0,1,38.5,53.0,47.0,1.0,0.0,3.0,2.0,1.0,1.9,1.9
Caleb Martin,MIA,1,1,0,8.7,9.0,6.0,1.0,0.0,1.0,2.0,1.0,11.1,11.1
Cameron Payne,MIL,1,0,1,10.2,16.0,16.0,1.0,0.0,1.0,3.0,2.0,6.3,12.5
Chris Boucher,TOR,1,0,1,13.3,7.0,6.0,1.0,0.0,2.0,3.0,1.0,14.3,14.3
Christian Braun,DEN,1,1,0,10.8,8.0,11.0,1.0,0.0,1.0,2.0,1.0,12.5,12.5
Clint Capela,ATL,1,0,1,30.3,21.0,19.0,1.0,0.0,3.0,3.0,1.0,4.8,4.8
Damian Jones,CLE,1,1,0,11.6,5.0,5.0,1.0,0.0,1.0,3.0,1.0,20.0,20.0
Daniel Theis,LAC,1,0,1,21.2,16.0,17.0,1.0,0.0,2.0,2.0,1.0,6.3,6.3
Davis Bertans,OKC,1,0,1,10.4,6.0,5.0,1.0,0.0,0.0,2.0,1.0,16.7,16.7
Day'Ron Sharpe,BKN,1,1,0,18.1,21.0,16.0,1.0,0.0,1.0,2.0,1.0,4.8,4.8
Dean Wade,CLE,1,1,0,36.3,41.0,30.0,1.0,0.0,3.0,2.0,1.0,2.4,2.4
Dereck Lively II,DAL,1,1,0,31.6,40.0,20.0,1.0,0.0,4.0,3.0,1.0,2.5,2.5
Derrick Jones Jr.,DAL,1,1,0,35.3,26.0,37.0,1.0,0.0,5.0,3.0,1.0,3.8,3.8
Dorian Finney-Smith,BKN,1,1,0,27.4,21.0,12.0,1.0,0.0,1.0,3.0,1.0,4.8,4.8
Garrison Mathews,ATL,1,0,1,14.3,11.0,9.0,1.0,0.0,2.0,2.0,1.0,9.1,9.1
Grant Williams,DAL,1,1,0,26.7,21.0,14.0,1.0,0.0,2.0,3.0,1.0,4.8,4.8
Harrison Barnes,SAC,1,0,1,30.7,24.0,22.0,1.0,0.0,0.0,2.0,1.0,4.2,4.2
Herbert Jones,NOP,1,0,1,18.2,14.0,16.0,1.0,0.0,3.0,2.0,1.0,7.1,7.1
Immanuel Quickley,NYK,1,1,0,22.5,22.0,27.0,1.0,0.0,0.0,2.0,1.0,4.5,4.5
Isaiah Joe,OKC,1,0,1,20.3,20.0,25.0,1.0,0.0,1.0,3.0,1.0,5.0,5.0
JaVale McGee,SAC,1,0,1,9.0,5.0,8.0,1.0,0.0,2.0,4.0,2.0,20.0,40.0
Jaden Hardy,DAL,1,1,0,12.7,9.0,9.0,1.0,0.0,1.0,3.0,1.0,11.1,11.1
Jaden McDaniels,MIN,1,1,0,40.7,32.0,38.0,1.0,0.0,4.0,2.0,1.0,3.1,3.1
Jaime Jaquez Jr.,MIA,1,1,0,39.5,40.0,36.0,1.0,0.0,7.0,3.0,1.0,2.5,2.5
Jalen Smith,IND,1,0,1,14.6,16.0,17.0,1.0,0.0,2.0,3.0,1.0,6.3,6.3
Jalen Wilson,BKN,1,1,0,5.7,5.0,4.0,1.0,0.0,1.0,2.0,1.0,20.0,20.0
Jaylin Williams,OKC,1,0,1,5.8,10.0,8.0,1.0,0.0,1.0,2.0,1.0,10.0,10.0
Jonathan Isaac,ORL,1,1,0,11.8,10.0,6.0,1.0,0.0,1.0,3.0,1.0,10.0,10.0
Jordan Goodwin,PHX,1,0,1,10.6,15.0,12.0,1.0,0.0,3.0,3.0,1.0,6.7,6.7
Julian Champagnie,SAS,1,0,1,21.5,25.0,18.0,1.0,0.0,5.0,2.0,1.0,4.0,4.0
KJ Martin,PHI,1,0,1,5.5,3.0,3.0,1.0,0.0,1.0,2.0,1.0,33.3,33.3
Keon Ellis,SAC,1,0,1,11.5,17.0,17.0,1.0,0.0,0.0,2.0,1.0,5.9,5.9
Kevin Huerter,SAC,1,0,1,15.3,18.0,22.0,1.0,0.0,5.0,4.0,2.0,5.6,11.1
Klay Thompson,GSW,1,0,1,32.1,26.0,27.0,1.0,1.0,2.0,2.0,2.0,3.8,7.7
Michael Porter Jr.,DEN,1,1,0,40.5,31.0,31.0,1.0,2.0,3.0,3.0,3.0,3.2,9.7
Neemias Queta,BOS,1,1,0,6.7,6.0,3.0,1.0,0.0,3.0,3.0,1.0,16.7,16.7
Olivier Sarr,OKC,1,0,1,3.1,4.0,1.0,1.0,0.0,1.0,3.0,1.0,25.0,25.0
Pat Connaughton,MIL,1,0,1,23.9,28.0,16.0,1.0,0.0,3.0,3.0,1.0,3.6,3.6
Paul Reed,PHI,1,0,1,17.5,10.0,10.0,1.0,0.0,1.0,3.0,1.0,10.0,10.0
Peyton Watson,DEN,1,1,0,20.5,22.0,18.0,1.0,0.0,1.0,3.0,1.0,4.5,4.5
Precious Achiuwa,TOR,1,0,1,21.4,20.0,19.0,1.0,1.0,0.0,2.0,2.0,5.0,10.0
RJ Barrett,NYK,1,1,0,27.6,26.0,31.0,1.0,1.0,4.0,3.0,2.0,3.8,7.7
Rudy Gobert,MIN,1,1,0,39.2,39.0,26.0,1.0,0.0,0.0,2.0,1.0,2.6,2.6
Shake Milton,MIN,1,1,0,13.8,15.0,17.0,1.0,0.0,7.0,3.0,1.0,6.7,6.7
Skylar Mays,POR,1,0,1,4.6,9.0,12.0,1.0,1.0,0.0,2.0,2.0,11.1,22.2
Trayce Jackson-Davis,GSW,1,0,1,14.9,15.0,12.0,1.0,0.0,1.0,3.0,1.0,6.7,6.7
Tristan Thompson,CLE,1,1,0,13.1,15.0,14.0,1.0,0.0,0.0,2.0,1.0,6.7,6.7
Vince Williams Jr.,MEM,1,1,0,35.1,40.0,24.0,1.0,0.0,3.0,2.0,1.0,2.5,2.5
Walker Kessler,UTA,1,1,0,25.3,22.0,12.0,1.0,1.0,1.0,3.0,2.0,4.5,9.1
A.J. Lawson,DAL,1,1,0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amen Thompson,HOU,1,1,0,10.5,11.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Andre Drummond,CHI,1,0,1,13.4,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bobby Portis,MIL,1,0,1,30.6,25.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bones Hyland,LAC,1,0,1,7.8,14.0,16.0,0.0,0.0,1.0,2.0,1.0,0.0,7.1
Brandon Boston Jr.,LAC,1,0,1,13.2,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce McGowens,CHA,1,0,1,18.4,12.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,8.3
Caleb Houstan,ORL,1,1,0,20.5,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cam Reddish,LAL,1,0,1,18.4,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Chet Holmgren,OKC,1,0,1,34.1,41.0,31.0,0.0,1.0,3.0,0.0,1.0,0.0,2.4
Chris Duarte,SAC,1,0,1,18.4,19.0,12.0,0.0,1.0,2.0,1.0,2.0,0.0,10.5
Cody Martin,CHA,1,0,1,17.1,7.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Colby Jones,SAC,1,0,1,2.4,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dalen Terry,CHI,1,0,1,17.1,14.0,15.0,0.0,0.0,3.0,2.0,1.0,0.0,7.1
Danuel House Jr.,PHI,1,0,1,6.2,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devonte' Graham,SAS,1,0,1,8.3,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
