PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AssistPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"
Doug McDermott,SAS,1,0,1,15.0,11.0,14.0,1.0,0.0,3.0,2.0,1.0,9.1,9.1
Eric Gordon,PHX,1,1,0,30.3,17.0,22.0,1.0,0.0,4.0,5.0,2.0,5.9,11.8
Goga Bitadze,ORL,1,0,1,26.2,24.0,17.0,1.0,0.0,1.0,2.0,1.0,4.2,4.2
Julian Champagnie,SAS,1,0,1,13.8,18.0,14.0,1.0,0.0,2.0,2.0,1.0,5.6,5.6
Klay Thompson,GSW,1,1,0,29.1,20.0,32.0,1.0,0.0,2.0,2.0,1.0,5.0,5.0
Matisse Thybulle,POR,1,0,1,17.7,17.0,10.0,1.0,0.0,2.0,2.0,1.0,5.9,5.9
Moses Moody,GSW,1,1,0,18.9,13.0,16.0,1.0,0.0,2.0,2.0,1.0,7.7,7.7
Nassir Little,PHX,1,1,0,23.3,18.0,9.0,1.0,1.0,3.0,2.0,2.0,5.6,11.1
Paolo Banchero,ORL,1,0,1,35.8,57.0,65.0,1.0,0.0,5.0,3.0,1.0,1.8,1.8
Shaedon Sharpe,POR,1,0,1,27.2,19.0,21.0,1.0,1.0,4.0,3.0,2.0,5.3,10.5
AJ Green,MIL,1,1,0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobby Portis,MIL,1,1,0,24.9,23.0,7.0,0.0,1.0,1.0,2.0,2.0,0.0,8.7
Brook Lopez,MIL,1,1,0,31.3,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caleb Houstan,ORL,1,0,1,15.8,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cedi Osman,SAS,1,0,1,16.8,14.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Chimezie Metu,PHX,1,1,0,9.3,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Livingston,MIL,1,1,0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chuma Okeke,ORL,1,0,1,2.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalano Banton,BOS,1,1,0,2.5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Eubanks,PHX,1,1,0,17.4,15.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jabari Walker,POR,1,0,1,15.1,13.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jalen Suggs,ORL,1,0,1,27.8,29.0,30.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jeremiah Robinson-Earl,NOP,1,1,0,4.4,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jett Howard,ORL,1,0,1,2.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Isaac,ORL,1,0,1,16.7,13.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,GSW,1,1,0,18.8,27.0,22.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Jordan Hawkins,NOP,1,1,0,12.4,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jrue Holiday,BOS,1,1,0,34.2,29.0,29.0,0.0,1.0,2.0,0.0,1.0,0.0,3.4
Kristaps Porzingis,BOS,1,1,0,29.0,32.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Lamar Stevens,BOS,1,1,0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lindell Wigginton,MIL,1,1,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MarJon Beauchamp,MIL,1,1,0,12.6,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marques Bolden,MIL,1,1,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moritz Wagner,ORL,1,0,1,12.5,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Neemias Queta,BOS,1,1,0,16.4,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oshae Brissett,BOS,1,1,0,2.5,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Hauser,BOS,1,1,0,16.5,18.0,10.0,0.0,0.0,3.0,3.0,1.0,0.0,5.6
Thanasis Antetokounmpo,MIL,1,1,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toumani Camara,POR,1,0,1,22.4,21.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
