,PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AstPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"
157,Orlando Robinson,MIA,1,1,0,11.0,11.0,9.0,1.0,0.0,1.0,3.0,1.0,9.1,9.1,
158,Oscar Tshiebwe,IND,1,0,1,7.3,4.0,7.0,1.0,0.0,1.0,3.0,1.0,25.0,25.0,
159,Paul Reed,PHI,1,1,0,13.8,10.0,8.0,1.0,0.0,1.0,3.0,1.0,10.0,10.0,
160,Rudy Gobert,MIN,1,1,0,25.2,33.0,19.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0,
161,Sam Merrill,CLE,1,1,0,7.9,10.0,15.0,1.0,0.0,2.0,2.0,1.0,10.0,10.0,
162,Seth Curry,DAL,1,1,0,13.6,13.0,17.0,1.0,0.0,2.0,3.0,1.0,7.7,7.7,
163,Taurean Prince,LAL,1,0,1,36.0,18.0,21.0,1.0,0.0,2.0,3.0,2.0,5.6,11.1,
164,Taylor Hendricks,UTA,1,0,1,21.4,16.0,17.0,1.0,1.0,1.0,2.0,2.0,6.3,12.5,
165,Tim Hardaway Jr.,DAL,1,1,0,35.9,44.0,50.0,1.0,3.0,1.0,3.0,4.0,2.3,9.1,
166,Walker Kessler,UTA,1,0,1,18.4,26.0,15.0,1.0,0.0,3.0,3.0,1.0,3.8,3.8,
167,Wesley Matthews,ATL,1,0,1,20.5,14.0,6.0,1.0,0.0,2.0,3.0,1.0,7.1,7.1,
168,Xavier Moon,LAC,1,1,0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
169,A.J. Lawson,DAL,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
170,Aaron Nesmith,IND,1,0,1,26.2,35.0,31.0,0.0,0.0,2.0,3.0,2.0,0.0,5.7,
171,Alec Burks,DET,1,0,1,4.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
172,Amari Bailey,CHA,1,0,1,7.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
173,Amir Coffey,LAC,1,1,0,16.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
174,Andre Drummond,CHI,1,0,1,10.7,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,16.7,
175,Ben Sheppard,IND,1,0,1,17.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
176,Bryce McGowens,CHA,1,0,1,24.4,14.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,7.1,
177,Chris Boucher,TOR,1,0,1,14.7,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
178,Chris Duarte,SAC,1,1,0,3.6,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
179,Daniel Theis,LAC,1,1,0,15.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
180,De'Andre Hunter,ATL,1,0,1,26.2,25.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,
181,Dereck Lively II,DAL,1,1,0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
182,Dwight Powell,DAL,1,1,0,22.3,26.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
183,Garrison Mathews,ATL,1,0,1,14.0,8.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
184,Gradey Dick,TOR,1,0,1,2.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
185,Greg Brown III,DAL,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
186,JT Thor,CHA,1,0,1,21.7,19.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
187,JaVale McGee,SAC,1,1,0,3.9,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
188,Jaden Hardy,DAL,1,1,0,6.3,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
189,Jaden McDaniels,MIN,1,1,0,17.8,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
190,Jakob Poeltl,TOR,1,0,1,25.3,37.0,29.0,0.0,1.0,3.0,0.0,1.0,0.0,2.7,
191,Jalen McDaniels,TOR,1,0,1,2.7,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
192,Jalen Wilson,BKN,1,0,1,8.2,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
193,James Bouknight,CHA,1,0,1,7.3,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
194,James Johnson,IND,1,0,1,3.2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
195,Jaxson Hayes,LAL,1,0,1,19.8,16.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
196,Joe Harris,DET,1,0,1,6.7,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,
