PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AstPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"
Josh Giddey,OKC,1,1,0,15.3,22.0,17.0,4.0,0.0,5.0,10.0,4.0,18.2,18.2
Karl-Anthony Towns,MIN,1,1,0,35.0,25.0,36.0,4.0,0.0,5.0,12.0,5.0,16.0,20.0
Kawhi Leonard,LAC,1,1,0,30.2,10.0,13.0,4.0,0.0,3.0,7.0,3.0,40.0,30.0
Markieff Morris,DAL,1,1,0,19.8,30.0,29.0,4.0,0.0,5.0,10.0,4.0,13.3,13.3
OG Anunoby,TOR,1,0,1,32.7,23.0,25.0,4.0,0.0,5.0,10.0,5.0,17.4,21.7
Pascal Siakam,TOR,1,0,1,34.1,36.0,34.0,4.0,0.0,8.0,13.0,6.0,11.1,16.7
Patrick Williams,CHI,1,0,1,33.0,40.0,35.0,4.0,1.0,7.0,11.0,5.0,10.0,12.5
Rui Hachimura,LAL,1,0,1,34.2,33.0,32.0,4.0,0.0,3.0,12.0,5.0,12.1,15.2
Russell Westbrook,LAC,1,1,0,15.1,14.0,11.0,4.0,0.0,4.0,4.0,2.0,28.6,14.3
Terance Mann,LAC,1,1,0,26.6,10.0,13.0,4.0,1.0,3.0,5.0,3.0,40.0,30.0
Tobias Harris,PHI,1,1,0,25.2,25.0,25.0,4.0,0.0,4.0,11.0,4.0,16.0,16.0
Troy Brown Jr.,MIN,1,1,0,16.2,10.0,15.0,4.0,0.0,4.0,12.0,4.0,40.0,40.0
Ayo Dosunmu,CHI,1,0,1,40.9,45.0,39.0,3.0,0.0,6.0,10.0,4.0,6.7,8.9
Bennedict Mathurin,IND,1,0,1,23.4,22.0,27.0,3.0,0.0,2.0,7.0,3.0,13.6,13.6
Christian Wood,LAL,1,0,1,30.4,34.0,27.0,3.0,0.0,6.0,8.0,3.0,8.8,8.8
Craig Porter Jr.,CLE,1,1,0,15.1,34.0,34.0,3.0,0.0,6.0,9.0,3.0,8.8,8.8
D'Moi Hodge,LAL,1,0,1,8.1,7.0,9.0,3.0,0.0,3.0,6.0,3.0,42.9,42.9
Dante Exum,DAL,1,1,0,27.0,34.0,39.0,3.0,0.0,6.0,8.0,3.0,8.8,8.8
Dean Wade,CLE,1,1,0,22.4,33.0,31.0,3.0,0.0,3.0,9.0,4.0,9.1,12.1
Desmond Bane,MEM,1,0,1,39.7,59.0,63.0,3.0,0.0,9.0,8.0,4.0,5.1,6.8
Gary Trent Jr.,TOR,1,0,1,20.5,20.0,24.0,3.0,0.0,3.0,6.0,3.0,15.0,15.0
Grant Williams,DAL,1,1,0,31.3,28.0,18.0,3.0,0.0,4.0,7.0,3.0,10.7,10.7
Immanuel Quickley,NYK,1,0,1,19.2,14.0,14.0,3.0,0.0,2.0,2.0,2.0,21.4,14.3
Isaac Okoro,CLE,1,1,0,31.6,30.0,33.0,3.0,2.0,7.0,6.0,5.0,10.0,16.7
Jacob Gilyard,MEM,1,0,1,15.9,33.0,33.0,3.0,1.0,7.0,11.0,5.0,9.1,15.2
Jalen Williams,OKC,1,1,0,32.9,33.0,48.0,3.0,1.0,7.0,8.0,4.0,9.1,12.1
Jarace Walker,IND,1,0,1,24.2,27.0,23.0,3.0,0.0,6.0,8.0,4.0,11.1,14.8
Jevon Carter,CHI,1,0,1,12.2,18.0,17.0,3.0,0.0,2.0,7.0,3.0,16.7,16.7
Joel Embiid,PHI,1,1,0,29.9,20.0,34.0,3.0,0.0,6.0,7.0,3.0,15.0,15.0
Jordan Nwora,IND,1,0,1,10.3,7.0,12.0,3.0,1.0,2.0,6.0,4.0,42.9,57.1
Julius Randle,NYK,1,0,1,30.9,20.0,22.0,3.0,0.0,1.0,3.0,1.0,15.0,5.0
Kris Dunn,UTA,1,0,1,27.0,39.0,44.0,3.0,0.0,11.0,9.0,4.0,7.7,10.3
Lauri Markkanen,UTA,1,0,1,28.0,33.0,28.0,3.0,0.0,3.0,9.0,3.0,9.1,9.1
Nicolas Batum,PHI,1,1,0,20.2,19.0,16.0,3.0,0.0,6.0,7.0,3.0,15.8,15.8
Nikola Vucevic,CHI,1,0,1,32.3,39.0,41.0,3.0,1.0,4.0,9.0,5.0,7.7,12.8
Reggie Jackson,DEN,1,0,1,21.7,30.0,39.0,3.0,0.0,5.0,9.0,4.0,10.0,13.3
Royce O'Neale,BKN,1,0,1,34.0,39.0,28.0,3.0,2.0,3.0,7.0,5.0,7.7,12.8
Vince Williams Jr.,MEM,1,0,1,30.3,34.0,26.0,3.0,0.0,5.0,7.0,3.0,8.8,8.8
Bojan Bogdanovic,DET,1,0,1,30.9,19.0,33.0,2.0,0.0,4.0,4.0,2.0,10.5,10.5
Brandon Boston Jr.,LAC,1,1,0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Brown,IND,1,0,1,27.1,49.0,51.0,2.0,1.0,4.0,7.0,4.0,4.1,8.2
Buddy Hield,IND,1,0,1,18.2,29.0,25.0,2.0,1.0,4.0,4.0,3.0,6.9,10.3
Caleb Martin,MIA,1,1,0,36.8,37.0,33.0,2.0,0.0,6.0,4.0,2.0,5.4,5.4
Cam Thomas,BKN,1,0,1,36.6,31.0,47.0,2.0,0.0,5.0,4.0,2.0,6.5,6.5
Dalen Terry,CHI,1,0,1,16.3,19.0,17.0,2.0,1.0,5.0,7.0,4.0,10.5,21.1
Danuel House Jr.,PHI,1,1,0,7.3,8.0,11.0,2.0,0.0,2.0,5.0,2.0,25.0,25.0
David Roddy,MEM,1,0,1,28.0,28.0,34.0,2.0,0.0,8.0,4.0,2.0,7.1,7.1
Day'Ron Sharpe,BKN,1,0,1,8.9,17.0,11.0,2.0,0.0,5.0,5.0,2.0,11.8,11.8
De'Anthony Melton,PHI,1,1,0,25.2,34.0,26.0,2.0,1.0,4.0,6.0,4.0,5.9,11.8
Derrick Rose,MEM,1,0,1,8.7,13.0,14.0,2.0,0.0,1.0,4.0,2.0,15.4,15.4
Georges Niang,CLE,1,1,0,15.2,15.0,12.0,2.0,0.0,2.0,6.0,2.0,13.3,13.3
Harrison Barnes,SAC,1,1,0,32.7,37.0,35.0,2.0,0.0,3.0,6.0,2.0,5.4,5.4
Isaiah Hartenstein,NYK,1,0,1,29.8,27.0,19.0,2.0,0.0,2.0,3.0,1.0,7.4,3.7
Ivica Zubac,LAC,1,1,0,27.6,19.0,10.0,2.0,0.0,0.0,0.0,0.0,10.5,0.0
Jaden Ivey,DET,1,0,1,28.2,23.0,34.0,2.0,1.0,5.0,5.0,4.0,8.7,17.4
Jaren Jackson Jr.,MEM,1,0,1,32.7,30.0,48.0,2.0,0.0,2.0,6.0,2.0,6.7,6.7
Jimmy Butler,MIA,1,1,0,35.0,33.0,51.0,2.0,1.0,7.0,6.0,3.0,6.1,9.1
Josh Richardson,MIA,1,1,0,20.4,33.0,30.0,2.0,0.0,5.0,6.0,2.0,6.1,6.1
Justin Holiday,DEN,1,0,1,25.4,22.0,18.0,2.0,1.0,1.0,4.0,3.0,9.1,13.6
KJ Martin,PHI,1,1,0,4.3,4.0,2.0,2.0,0.0,2.0,5.0,2.0,50.0,50.0
Keegan Murray,SAC,1,1,0,36.1,41.0,45.0,2.0,1.0,3.0,5.0,3.0,4.9,7.3
Leaky Black,CHA,1,0,1,7.3,17.0,8.0,2.0,0.0,3.0,5.0,2.0,11.8,11.8
Luguentz Dort,OKC,1,1,0,26.0,13.0,16.0,2.0,0.0,1.0,4.0,2.0,15.4,15.4
Marcus Sasser,DET,1,0,1,16.8,26.0,30.0,2.0,0.0,8.0,5.0,2.0,7.7,7.7
Mikal Bridges,BKN,1,0,1,42.3,37.0,43.0,2.0,1.0,7.0,5.0,3.0,5.4,8.1
Miles McBride,NYK,1,0,1,10.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Beverley,PHI,1,1,0,8.3,12.0,9.0,2.0,0.0,2.0,4.0,2.0,16.7,16.7
Patty Mills,ATL,1,0,1,12.6,6.0,7.0,2.0,0.0,3.0,6.0,2.0,33.3,33.3
Sasha Vezenkov,SAC,1,1,0,11.4,13.0,8.0,2.0,0.0,3.0,4.0,2.0,15.4,15.4
Terry Rozier,CHA,1,0,1,19.5,33.0,41.0,2.0,0.0,6.0,5.0,2.0,6.1,6.1
Trendon Watford,BKN,1,0,1,8.1,19.0,15.0,2.0,0.0,2.0,5.0,2.0,10.5,10.5
Ziaire Williams,MEM,1,0,1,14.7,21.0,16.0,2.0,0.0,3.0,4.0,2.0,9.5,9.5
Aaron Wiggins,OKC,1,1,0,12.3,12.0,8.0,1.0,0.0,3.0,5.0,2.0,8.3,16.7
Ausar Thompson,DET,1,0,1,23.6,18.0,11.0,1.0,1.0,3.0,3.0,2.0,5.6,11.1
Bismack Biyombo,MEM,1,0,1,33.4,43.0,35.0,1.0,0.0,4.0,3.0,1.0,2.3,2.3
Bruno Fernando,ATL,1,0,1,15.9,13.0,11.0,1.0,0.0,2.0,3.0,1.0,7.7,7.7
Caris LeVert,CLE,1,1,0,24.8,44.0,44.0,1.0,1.0,5.0,3.0,2.0,2.3,4.5
Cason Wallace,OKC,1,1,0,18.3,13.0,10.0,1.0,0.0,1.0,2.0,1.0,7.7,7.7
Chet Holmgren,OKC,1,1,0,32.4,44.0,33.0,1.0,1.0,1.0,4.0,3.0,2.3,6.8
Christian Braun,DEN,1,0,1,25.4,21.0,24.0,1.0,0.0,3.0,2.0,1.0,4.8,4.8
Colin Castleton,LAL,1,0,1,5.5,4.0,4.0,1.0,0.0,0.0,2.0,1.0,25.0,25.0
Collin Sexton,UTA,1,0,1,32.6,46.0,61.0,1.0,0.0,9.0,5.0,3.0,2.2,6.5
DaQuan Jeffries,NYK,1,0,1,6.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Davion Mitchell,SAC,1,1,0,18.5,40.0,40.0,1.0,0.0,4.0,3.0,1.0,2.5,2.5
DeAndre Jordan,DEN,1,0,1,6.3,12.0,7.0,1.0,0.0,3.0,3.0,1.0,8.3,8.3
Donte DiVincenzo,NYK,1,0,1,21.7,10.0,8.0,1.0,0.0,1.0,2.0,1.0,10.0,10.0
Furkan Korkmaz,PHI,1,1,0,4.3,5.0,4.0,1.0,0.0,0.0,2.0,1.0,20.0,20.0
Garrett Temple,TOR,1,0,1,2.7,6.0,5.0,1.0,0.0,2.0,3.0,1.0,16.7,16.7
Haywood Highsmith,MIA,1,1,0,14.0,11.0,6.0,1.0,0.0,2.0,3.0,1.0,9.1,9.1
Isaiah Joe,OKC,1,1,0,26.7,22.0,24.0,1.0,0.0,5.0,3.0,1.0,4.5,4.5
Isaiah Livers,DET,1,0,1,26.6,19.0,15.0,1.0,0.0,2.0,3.0,1.0,5.3,5.3
Jaden Springer,PHI,1,1,0,12.0,12.0,16.0,1.0,0.0,4.0,3.0,1.0,8.3,8.3
Jake LaRavia,MEM,1,0,1,10.2,13.0,9.0,1.0,0.0,1.0,2.0,1.0,7.7,7.7
Jarred Vanderbilt,LAL,1,0,1,12.9,9.0,5.0,1.0,0.0,1.0,2.0,1.0,11.1,11.1
Jarrett Allen,CLE,1,1,0,34.9,52.0,47.0,1.0,2.0,6.0,2.0,3.0,1.9,5.8
Jaylin Williams,OKC,1,1,0,21.9,27.0,20.0,1.0,0.0,1.0,2.0,1.0,3.7,3.7
Jericho Sims,NYK,1,0,1,18.2,4.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0
Johnny Juzang,UTA,1,0,1,4.4,7.0,7.0,1.0,0.0,1.0,2.0,1.0,14.3,14.3
Josh Hart,NYK,1,0,1,8.3,6.0,5.0,1.0,0.0,1.0,2.0,1.0,16.7,16.7
Juan Toscano-Anderson,SAC,1,1,0,2.4,2.0,1.0,1.0,0.0,1.0,3.0,1.0,50.0,50.0
Julian Strawther,DEN,1,0,1,14.7,13.0,14.0,1.0,0.0,2.0,2.0,1.0,7.7,7.7
Kevin Love,MIA,1,1,0,26.5,47.0,36.0,1.0,1.0,2.0,2.0,2.0,2.1,4.3
Malachi Flynn,TOR,1,0,1,19.0,33.0,34.0,1.0,1.0,7.0,2.0,2.0,3.0,6.1
Marcus Morris Sr.,PHI,1,1,0,15.6,12.0,13.0,1.0,0.0,2.0,2.0,1.0,8.3,8.3
Marvin Bagley III,DET,1,0,1,22.0,22.0,18.0,1.0,0.0,4.0,3.0,1.0,4.5,4.5
Max Christie,LAL,1,0,1,23.3,21.0,21.0,1.0,0.0,1.0,2.0,1.0,4.8,4.8
Mo Bamba,PHI,1,1,0,6.6,12.0,8.0,1.0,0.0,1.0,3.0,1.0,8.3,8.3
Nathan Mensah,CHA,1,0,1,28.6,14.0,5.0,1.0,0.0,0.0,3.0,1.0,7.1,7.1
Nic Claxton,BKN,1,0,1,33.1,31.0,23.0,1.0,2.0,3.0,3.0,3.0,3.2,9.7
Nick Richards,CHA,1,0,1,19.4,15.0,12.0,1.0,0.0,1.0,2.0,1.0,6.7,6.7
Nick Smith Jr.,CHA,1,0,1,26.2,26.0,29.0,1.0,0.0,2.0,2.0,1.0,3.8,3.8
Nickeil Alexander-Walker,MIN,1,1,0,25.6,39.0,33.0,1.0,2.0,3.0,4.0,4.0,2.6,10.3
Obi Toppin,IND,1,0,1,16.8,12.0,9.0,1.0,0.0,1.0,2.0,1.0,8.3,8.3
Olivier-Maxence Prosper,DAL,1,1,0,5.9,7.0,3.0,1.0,0.0,3.0,3.0,1.0,14.3,14.3
Onyeka Okongwu,ATL,1,0,1,32.2,15.0,19.0,1.0,0.0,1.0,2.0,1.0,6.7,6.7
Orlando Robinson,MIA,1,1,0,11.0,11.0,9.0,1.0,0.0,1.0,3.0,1.0,9.1,9.1
Oscar Tshiebwe,IND,1,0,1,7.3,4.0,7.0,1.0,0.0,1.0,3.0,1.0,25.0,25.0
Paul Reed,PHI,1,1,0,13.8,10.0,8.0,1.0,0.0,1.0,3.0,1.0,10.0,10.0
Rudy Gobert,MIN,1,1,0,25.2,33.0,19.0,1.0,0.0,1.0,2.0,1.0,3.0,3.0
Sam Merrill,CLE,1,1,0,7.9,10.0,15.0,1.0,0.0,2.0,2.0,1.0,10.0,10.0
Seth Curry,DAL,1,1,0,13.6,13.0,17.0,1.0,0.0,2.0,3.0,1.0,7.7,7.7
Taurean Prince,LAL,1,0,1,36.0,18.0,21.0,1.0,0.0,2.0,3.0,2.0,5.6,11.1
Taylor Hendricks,UTA,1,0,1,21.4,16.0,17.0,1.0,1.0,1.0,2.0,2.0,6.3,12.5
Tim Hardaway Jr.,DAL,1,1,0,35.9,44.0,50.0,1.0,3.0,1.0,3.0,4.0,2.3,9.1
Walker Kessler,UTA,1,0,1,18.4,26.0,15.0,1.0,0.0,3.0,3.0,1.0,3.8,3.8
Wesley Matthews,ATL,1,0,1,20.5,14.0,6.0,1.0,0.0,2.0,3.0,1.0,7.1,7.1
Xavier Moon,LAC,1,1,0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Lawson,DAL,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Nesmith,IND,1,0,1,26.2,35.0,31.0,0.0,0.0,2.0,3.0,2.0,0.0,5.7
Alec Burks,DET,1,0,1,4.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amari Bailey,CHA,1,0,1,7.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,LAC,1,1,0,16.8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,CHI,1,0,1,10.7,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,16.7
Ben Sheppard,IND,1,0,1,17.0,24.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce McGowens,CHA,1,0,1,24.4,14.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,7.1
Chris Boucher,TOR,1,0,1,14.7,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Duarte,SAC,1,1,0,3.6,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Theis,LAC,1,1,0,15.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Andre Hunter,ATL,1,0,1,26.2,25.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Dereck Lively II,DAL,1,1,0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwight Powell,DAL,1,1,0,22.3,26.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Garrison Mathews,ATL,1,0,1,14.0,8.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Gradey Dick,TOR,1,0,1,2.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greg Brown III,DAL,1,1,0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JT Thor,CHA,1,0,1,21.7,19.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JaVale McGee,SAC,1,1,0,3.9,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden Hardy,DAL,1,1,0,6.3,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaden McDaniels,MIN,1,1,0,17.8,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jakob Poeltl,TOR,1,0,1,25.3,37.0,29.0,0.0,1.0,3.0,0.0,1.0,0.0,2.7
Jalen McDaniels,TOR,1,0,1,2.7,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Wilson,BKN,1,0,1,8.2,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
James Bouknight,CHA,1,0,1,7.3,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Johnson,IND,1,0,1,3.2,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jaxson Hayes,LAL,1,0,1,19.8,16.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Joe Harris,DET,1,0,1,6.7,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jordan McLaughlin,MIN,1,1,0,3.4,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Miller,LAC,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joshua Primo,LAC,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Phillips,CHI,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kelly Oubre Jr.,PHI,1,1,0,20.5,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kenrich Williams,OKC,1,1,0,12.5,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kessler Edwards,SAC,1,1,0,2.4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Knox II,DET,1,0,1,9.3,11.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kobe Brown,LAC,1,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micah Potter,UTA,1,0,1,4.4,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Michael Porter Jr.,DEN,1,0,1,32.5,34.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,2.9
Miles Bridges,CHA,1,0,1,30.9,38.0,35.0,0.0,1.0,5.0,0.0,1.0,0.0,2.6
Myles Turner,IND,1,0,1,21.1,17.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Naz Reid,MIN,1,1,0,27.1,29.0,24.0,0.0,2.0,2.0,0.0,2.0,0.0,6.9
Norman Powell,LAC,1,1,0,24.4,7.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ochai Agbaji,UTA,1,0,1,23.3,24.0,20.0,0.0,1.0,4.0,3.0,3.0,0.0,12.5
Ousmane Dieng,OKC,1,1,0,4.8,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peyton Watson,DEN,1,0,1,16.3,18.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Quentin Grimes,NYK,1,0,1,23.5,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RJ Barrett,NYK,1,0,1,28.3,12.0,10.0,0.0,0.0,2.0,2.0,1.0,0.0,8.3
Robert Covington,PHI,1,1,0,14.1,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ryan Arcidiacono,NYK,1,0,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saddiq Bey,ATL,1,0,1,36.5,31.0,22.0,0.0,0.0,2.0,2.0,1.0,0.0,3.2
Santi Aldama,MEM,1,0,1,26.5,30.0,26.0,0.0,1.0,2.0,0.0,1.0,0.0,3.3
Shake Milton,MIN,1,1,0,5.4,2.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,50.0
Simone Fontecchio,UTA,1,0,1,25.4,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taj Gibson,NYK,1,0,1,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,TOR,1,0,1,2.7,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bryant,MIA,1,1,0,6.1,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Torrey Craig,CHI,1,0,1,13.6,23.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Trent Forrest,ATL,1,0,1,7.3,9.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,11.1
Trey Lyles,SAC,1,1,0,17.7,24.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,4.2
Tristan Thompson,CLE,1,1,0,13.2,16.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Wendell Moore Jr.,MIN,1,1,0,3.4,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
